[2017-03-07 17:24:30]	Other thread is under initialization 
[2017-03-07 17:37:50]	Other thread is under initialization 
[2017-03-07 17:37:50]	Other thread is under initialization 
[2017-03-07 17:37:50]	Other thread is under initialization 
[2017-03-07 17:37:50]	Other thread is under initialization 
[2017-03-07 17:37:50]	Other thread is under initialization 
[2017-03-07 17:37:50]	Other thread is under initialization 
[2017-03-07 17:37:50]	Other thread is under initialization 
[2017-03-07 17:37:50]	Other thread is under initialization 
[2017-03-07 17:37:50]	Other thread is under initialization 
[2017-03-07 17:40:42]	Other thread is under initialization 
[2017-03-07 17:40:42]	Other thread is under initialization 
[2017-03-07 17:40:42]	Other thread is under initialization 
[2017-03-07 17:40:42]	Other thread is under initialization 
[2017-03-07 17:40:42]	Other thread is under initialization 
[2017-03-07 17:42:47]	Other thread is under initialization 
